id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb599232358a46554f807aef067961,https://www.airbnb.es/rooms/25185997,-0.38222429419104953,39.47410637009327,2018-05-25 15:44:09.612000,2018-06-02 22:52:37.183000,airbnb190303461,private_room,1,1,1,1,19
airbnb599232358a46554f807aef067962,https://www.airbnb.es/rooms/17707088,-0.3824486338167268,39.47406065106301,2017-08-15 17:07:51.864000,2018-06-02 22:54:19.625000,airbnb32646485,entire_home,3,5,9,3,108
airbnb599232358a46554f807aef067963,https://www.airbnb.es/rooms/22680509,-0.3825838836819352,39.47401789944289,2018-04-24 14:11:32.729000,2018-06-02 22:52:57.041000,airbnb167152363,entire_home,2,4,4,1,85
airbnb599232358a46554f807aef067964,https://www.airbnb.es/rooms/16080872,-0.3827752960604565,39.473803168343366,2017-08-15 17:07:51.865000,2017-10-11 01:10:59.304000,airbnb104107497,entire_home,3,7,2,1,80
airbnb599232358a46554f807aef067965,https://www.airbnb.es/rooms/979009,-0.38285459927640375,39.47361998966907,2017-08-15 17:07:56.164000,2017-10-11 01:11:39.529000,airbnb5358899,entire_home,1,2,24,2,40
airbnb599232358a46554f807aef067966,https://www.airbnb.es/rooms/15657890,-0.382900161397629,39.47364309952519,2017-08-15 17:07:43.345000,2018-09-22 07:07:33.317000,airbnb12524685,entire_home,2,4,49,3,
airbnb599232358a46554f807aef067967,https://www.airbnb.es/rooms/1094583,-0.3828522070629071,39.4739776653738,2017-08-15 17:07:47.450000,2018-05-13 08:02:33.681000,airbnb6013596,entire_home,2,2,265,2,55
airbnb599232358a46554f807aef067968,https://www.airbnb.es/rooms/14745251,-0.38282415143424836,39.47419498031994,2018-04-24 14:12:40.835000,2018-06-02 03:34:03.144000,airbnb67294915,private_room,0,2,10,1,26
airbnb599232358a46554f807aef067969,https://www.airbnb.es/rooms/8042766,-0.3829533715773599,39.47446920706107,2017-08-15 17:08:53.282000,2017-10-11 01:22:26.781000,airbnb37890995,entire_home,2,6,19,2,45
airbnb599232358a46554f807aef067970,https://www.airbnb.es/rooms/17837717,-0.38294335352293646,39.474708817013735,2017-08-15 17:08:36.057000,2018-09-22 07:05:02.452000,airbnb122005153,entire_home,2,3,64,3,
