Actividades económicas comerciales y de servicios. 2019;;;;;;;
;;;;;;;
Distrito;Barrio;Denominación;Total;Comercio, restaurantes, hostelería y reparaciones;Transportes y comunicaciones;Instituciones financieras y seguros;Otros servicios
17;6;17.6. Massarrojos;121;39;3;59;20
17;7;17.7. Borbotó;45;11;9;13;12
17;9;No consta;1;0;0;1;0
18;1;18.1. Benimàmet;731;369;58;186;118
18;2;18.2. Beniferri;361;116;14;163;68
19;1;19.1. el Forn d'Alcedo;185;115;14;42;14
19;2;19.2. el Castellar-l'Oliverar;420;156;74;132;58
19;3;19.3. Pinedo;250;130;19;63;38
19;4;19.4. el Saler;175;72;16;55;32
19;5;19.5. el Palmar;114;67;13;26;8
19;6;19.6. el Perellonet;105;46;5;40;14
19;7;19.7. la Torre;198;92;31;40;35
19;8;19.8. Faitanar;68;26;6;23;13
19;9;No consta;3;2;1;0;0
20;9;No consta;7.009;1.942;1.156;2.751;1.160
Impuesto de Actividades Económicas a 1/1/2019. Oficina d'Estadística. Ajuntament de València.;;;;;;;
