"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
73;"Carpesa";17;173;71;1098;1095;1025;1008;1013;1023;998;1003;1005;1014;1028;1020;1037;1039
74;"Cases de Bàrcena";17;174;71;415;347;249;236;224;220;209;211;202;200;205;257;266;220
75;"Mauella";17;175;71;25;22;18;18;19;19;22;22;24;22;20;22;25;35
76;"Massarrojos";17;176;71;1217;1235;1045;1036;1114;1141;1185;1245;1301;1364;1427;1451;1545;1555
77;"Borbotó";17;177;71;664;661;627;612;618;623;618;617;612;607;606;619;630;628
78;"Benimàmet";18;181;71;8321;8177;8046;7837;7792;7608;7520;7524;7611;7700;7816;7928;8096;8160
79;"Beniferri";18;182;71;683;698;596;586;658;658;663;706;752;815;838;863;856;820
80;"el Forn d'Alcedo";19;191;71;1862;1673;1583;1485;1526;1465;1470;1547;1495;1539;1483;1509;1464;1449
81;"el Castellar-l'Oliverar";19;192;71;5859;5803;5799;5690;5688;5590;5549;5518;5487;5521;5437;5400;5409;5394
82;"Pinedo";19;193;71;2098;2109;2065;2050;2076;2048;2067;2037;2075;2113;2102;2067;2056;2129
83;"el Saler";19;194;71;1293;1284;1082;1065;1063;1045;1056;1067;1064;1114;1124;1109;1131;1161
84;"el Palmar";19;195;71;587;601;595;577;572;573;575;573;570;577;572;572;591;576
85;"el Perellonet";19;196;71;1037;1033;759;770;777;775;786;757;751;778;784;822;833;872
86;"la Torre";19;197;71;3416;3298;3322;3181;3132;3047;3095;2933;2940;3072;3123;3170;3179;3183
87;"Faitanar";19;198;71;437;470;420;434;455;459;362;540;634;574;599;583;674;651
