"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
72;"Poble Nou";17;172;97;77,05;77,97;74,73;76,64;77,39;81,42;81,37;80,34;79,49;81,89;77,97;78,51
73;"Carpesa";17;173;97;83,1;84,29;74,31;76,32;75,23;79,81;79,82;80,77;79,82;78,95;76,72;74,14
74;"Cases de Bàrcena";17;174;97;87,5;91,67;90;83,33;82,76;80;75,86;77,42;83,33;86,27;86;86,57
75;"Mauella";17;175;97;100;100;100;100;100;100;100;100;100;80;75;66,67
76;"Massarrojos";17;176;97;90,67;93,06;93,75;90,42;89,53;89,45;89,04;89,04;89,61;90,12;90,74;90,57
77;"Borbotó";17;177;97;73,68;78,95;86,67;85,94;86,89;87,27;80,33;81,54;79,41;80,6;85,29;84
78;"Benimàmet";18;181;97;82,37;82,66;83,85;78,74;79,34;80,75;81,07;80,37;80,33;79,29;79,41;79,49
79;"Beniferri";18;182;97;95,49;96,82;90,62;90,26;91,12;90,2;89,79;88,38;90,85;90;89,47;89,19
80;"el Forn d'Alcedo";19;191;97;78,06;78,77;75,58;74,18;75,55;73,44;73,11;72,5;73,98;75,68;75,1;77,66
81;"el Castellar-l'Oliverar";19;192;97;84,54;85,99;83,01;83,99;82,27;83,22;84,88;83,27;84,48;84,54;85,54;85,27
82;"Pinedo";19;193;97;93,51;94,54;87,5;88,36;88,03;87,61;88,62;88,61;87,46;89,85;89,85;87,55
83;"el Saler";19;194;97;96,25;95,06;90,06;90,5;92,02;91,71;93,03;91,71;93,36;93,28;93,7;93,17
84;"el Palmar";19;195;97;95;93,33;92,55;94,9;95,74;96,04;94,06;89,57;87,14;87,14;90,62;90,55
85;"el Perellonet";19;196;97;100;100;96,15;93,97;94,35;92,25;93,98;93,71;94,33;94,16;93,21;90,76
86;"la Torre";19;197;97;88,61;89,73;78,89;79,29;79,5;79,57;77,14;80,3;77,9;76,97;80,19;81,88
87;"Faitanar";19;198;97;77,42;83,67;81,54;79,75;83,33;84,34;83,12;76,47;77,32;77,69;77,3;75,16
