"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
77;"Borbotó";17;177;90;10,64;10;9,75;9,65;9,65
78;"Benimàmet";18;181;90;24,44;23,25;21,53;21,55;21,54
79;"Beniferri";18;182;90;1,97;1,97;1,97;1,97;1,97
80;"el Forn d'Alcedo";19;191;90;13,65;12,27;8;8;8
81;"el Castellar-l'Oliverar";19;192;90;11,28;10,07;8,34;8,3;8,27
82;"Pinedo";19;193;90;10,92;10,33;9,32;9,46;9,46
83;"el Saler";19;194;90;6,22;5,64;5,21;5,21;5,21
84;"el Palmar";19;195;90;18,16;17,11;15,42;15,35;15,31
85;"el Perellonet";19;196;90;5,88;5,53;5,16;5,13;5,13
86;"la Torre";19;197;90;26,88;25,58;24,49;24,49;24,49
87;"Faitanar";19;198;90;8,57;8,46;7,8;7,63;7,63
