"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
58;"Penya-roja";12;125;78;12,91;12,82;12,43;12,59;12,38;12,24;12,27;12,03;11,42;10,44;9,77;9,31;9,27;8,96
59;"l'Illa Perduda";13;131;78;3,21;3,43;3,55;3,38;3,57;3,41;3,45;3,59;3,35;3,28;3,54;3,3;3,37;3,32
60;"Ciutat Jardí";13;132;78;5,01;5;4,8;4,74;4,89;5,1;4,88;4,94;4,49;4,37;4,26;4,05;4,02;4,03
61;"l'Amistat";13;133;78;4,31;4,32;4,58;4,66;4,37;4,41;4,49;4,49;4,45;4,23;4,16;4,17;4,05;4,01
62;"la Bega Baixa";13;134;78;6,68;6,36;6,7;6,77;6,86;6,52;6,35;5,92;5,63;5,48;5,08;4,77;4,75;4,67
63;"la Carrasca";13;135;78;8,3;8,39;7,91;7,4;7,19;7,21;7,2;6,79;6,22;6,09;5,43;5,12;5,25;5,04
64;"Benimaclet";14;141;78;4,62;4,69;5,17;5,24;5,09;5,13;5,23;5,19;4,88;4,67;4,34;4,38;4,25;4,55
65;"Camí de Vera";14;142;78;4,54;4,64;3,9;3,7;3,88;3,86;3,78;3,95;3,72;3,58;3,34;3,49;3,47;3,12
66;"Orriols";15;151;78;3,06;3,22;3,13;3,1;3,21;3,28;3,24;3,22;3,14;3,09;3,13;3,19;3,19;3,24
67;"Torrefiel";15;152;78;3,41;3,46;3,52;3,49;3,57;3,49;3,58;3,49;3,41;3,45;3,37;3,25;3,24;3,09
68;"Sant Llorenç";15;153;78;6,01;5,97;5,95;5,91;6,19;6,15;5,8;5,83;5,8;5,41;5,02;4,76;4,66;4,34
69;"Benicalap";16;161;78;3,37;3,52;3,58;3,6;3,67;3,82;3,71;3,71;3,7;3,6;3,54;3,46;3,39;3,37
70;"Ciutat Fallera";16;162;78;2,89;3,14;3,11;3;3,09;2,97;2,9;2,71;2,6;2,6;2,53;2,56;2,55;2,32
71;"Benifaraig";17;171;78;3,78;3,72;4,05;3,65;3,46;3,43;3,66;3,9;4,4;4,04;3,91;4,02;5,08;4,73
72;"Poble Nou";17;172;78;5,79;5,68;5,01;5,32;5,41;4,63;4,4;3,93;4,13;3,69;3,81;3,85;3,81;4,13
73;"Carpesa";17;173;78;4,71;5,13;5,16;5,41;5,7;5,16;4,56;4,84;4,9;4,59;4,5;4,21;3,88;4,16
74;"Cases de Bàrcena";17;174;78;4,55;5,09;7,24;8,44;9,33;9,46;10,56;8,16;6,43;6,67;7,97;7,88;6,94;8,16
75;"Mauella";17;175;78;0;0;0;6,25;6,25;6,25;5,88;5,88;5,88;6,25;6,25;5,88;11,11;11,11
76;"Massarrojos";17;176;78;8,52;9,14;7,56;7,81;7,83;7,97;8,14;8,92;8,39;8,25;7,88;7,54;7,62;6,9
77;"Borbotó";17;177;78;4,55;3,51;4,49;4,27;4,23;4,26;3,74;3,5;4,01;4,04;4,63;3,99;3,72;4
78;"Benimàmet";18;181;78;4,45;4,41;4,2;4,15;4,21;3,97;4,3;4,23;4,1;4,04;3,9;3,69;3,84;3,62
79;"Beniferri";18;182;78;7,19;6,25;6,3;6,35;6,62;6,67;6,27;7,06;6,79;7,13;6,25;5,53;5,5;5,04
80;"el Forn d'Alcedo";19;191;78;5,33;5,56;6,11;6,08;6,11;6,32;5,97;5,52;6;5,64;5,41;5,58;4,85;4,64
81;"el Castellar-l'Oliverar";19;192;78;5,66;5,62;5,56;5,32;5,51;5,52;5,44;5,14;5,28;4,92;4,96;4,78;4,66;4,46
82;"Pinedo";19;193;78;5,98;6,28;6,74;6,7;6,65;7,1;6,97;7,06;6,89;6,72;6,14;6,32;5,86;5,63
83;"el Saler";19;194;78;9,72;9,56;9,73;9,35;8,94;8,32;8,7;9,63;9,77;9,09;9,21;8,67;7,74;7,9
84;"el Palmar";19;195;78;5,67;4,98;5,28;5,69;6,2;6,22;6,52;7,18;6,86;6,76;6,08;6,88;6,84;5,64
85;"el Perellonet";19;196;78;8,09;8,26;6,74;6,61;6,93;6,95;6,55;6,73;6,25;6,07;6,35;5,76;4,87;5,22
86;"la Torre";19;197;78;2,94;2,83;3,27;2,96;3,18;3,14;3,22;3,24;3,36;3,4;3,24;2,98;3,17;3,03
87;"Faitanar";19;198;78;4,04;4,05;4,19;3,52;4,07;4,15;4,12;4,59;4;2,68;2,93;3,2;4,04;4,05
