"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
75;"Mauella";17;175;55;18,52;0;20,2;0;21,05;0;0;0;0;0
76;"Massarrojos";17;176;55;8,12;11,47;6,94;8,17;5,13;3,82;5,49;3,75;3,29;0,4
77;"Borbotó";17;177;55;11,06;5,64;14,07;4,16;8,37;9,8;9,74;5,48;2,71;2,72
78;"Benimàmet";18;181;55;9,11;8,81;7,91;8,38;7,28;9,03;9,86;5,53;1,27;1,64
79;"Beniferri";18;182;55;10,49;9,46;12,89;11,72;15,83;14,43;8,36;5,88;0;0,85
80;"el Forn d'Alcedo";19;191;55;6,34;0,81;5,72;7,43;7,4;6,48;9,57;3,96;2,38;3,12
81;"el Castellar-l'Oliverar";19;192;55;7,48;8;9,75;7,73;6,74;5,43;4,85;4,99;1,61;0,74
82;"Pinedo";19;193;55;6,52;9,31;7,32;6,61;6,29;9,39;5,84;4,68;0,78;1,54
83;"el Saler";19;194;55;4,02;6,4;4,1;9,88;8,55;4,99;5,92;4,2;1,03;1,58
84;"el Palmar";19;195;55;7,95;3,99;3,95;7,85;11,76;6,55;15,77;7,81;0;3,93
85;"el Perellonet";19;196;55;6,19;3,52;8,48;9,16;6,45;9,41;5,03;2,09;0,68;0,67
86;"la Torre";19;197;55;8,5;8,47;6,21;7,92;6,57;9,67;7,45;5,94;1,64;1,23
87;"Faitanar";19;198;55;21,6;17,84;15,23;19,61;21,42;17,78;11,63;12,04;3,92;3,15
