"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
30;"la Fontsanta";7;74;82;0,65;0,65;0,65;0,65;0,65
31;"la Llum";7;75;82;0,61;0,61;0,61;0,61;0,61
32;"Patraix";8;81;82;2,71;2,71;2,7;2,7;2,68
33;"Sant Isidre";8;82;82;0,49;0,49;0,49;0,48;0,47
34;"Vara de Quart";8;83;82;0,02;0,02;0,02;0,02;0,02
35;"Safranar";8;84;82;2,55;2,54;2,53;2,46;2,42
36;"Favara";8;85;82;4,66;4,66;4,66;4,66;4,76
37;"la Raiosa";9;91;82;2,45;2,46;2,44;2,45;2,42
38;"l'Hort de Senabre";9;92;82;1,52;1,52;1,52;1,52;1,52
39;"la Creu Coberta";9;93;82;1,85;1,85;1,88;1,85;1,85
41;"Camí Real";9;95;82;0,32;0,32;0,32;0,32;0,32
42;"Mont-Olivet";10;101;82;3,58;3,59;3,6;3,55;3,55
43;"en Corts";10;102;82;2,66;2,66;2,65;2,6;2,61
44;"Malilla";10;103;82;0,71;0,7;0,7;0,7;0,68
45;"Fonteta de Sant Lluís";10;104;82;0,92;0,92;0,92;0,92;0,89
46;"na Rovella";10;105;82;0,28;0,28;0,28;0,28;0,28
47;"la Punta";10;106;82;4,37;4,37;4,1;4,09;4,09
48;"Ciutat de les Arts i les Ciències";10;107;82;5,89;5,78;5,78;5,78;5,52
49;"el Grau";11;111;82;4,78;4,95;4,95;4,83;4,73
50;"el Cabanyal-el Canyamelar";11;112;82;14,47;14,51;14,49;14,46;14,59
51;"la Malva-rosa";11;113;82;3,04;3,04;3,04;3,04;3,02
52;"Beteró";11;114;82;2,6;2,58;2,55;2,55;2,55
53;"Natzaret";11;115;82;10,72;10,76;10,76;10,75;10,81
54;"Aiora";12;121;82;3,46;3,47;3,49;3,52;3,54
55;"Albors";12;122;82;3,8;3,8;3,78;3,78;3,84
56;"la Creu del Grau";12;123;82;2,99;3,02;3,02;3,04;3,2
57;"Camí Fondo";12;124;82;4,27;4,27;4,28;4,29;4,29
58;"Penya-roja";12;125;82;1,95;1,95;1,94;1,89;1,89
59;"l'Illa Perduda";13;131;82;2,29;2,29;2,29;2,29;2,29
60;"Ciutat Jardí";13;132;82;3,03;3,03;3,03;3,03;3,03
61;"l'Amistat";13;133;82;4,98;4,98;4,98;5;5
62;"la Bega Baixa";13;134;82;2,4;2,4;2,4;2,4;2,4
63;"la Carrasca";13;135;82;5,75;5,75;5,75;5,75;5,75
64;"Benimaclet";14;141;82;2,96;3,02;3,02;3,03;3,02
65;"Camí de Vera";14;142;82;1,01;1,01;1,01;1;1
66;"Orriols";15;151;82;11,69;11,82;11,84;11,85;11,86
67;"Torrefiel";15;152;82;4,64;4,64;4,66;4,68;4,68
68;"Sant Llorenç";15;153;82;2,78;2,76;2,76;2,76;2,68
69;"Benicalap";16;161;82;4,27;4,27;4,27;4,26;4,2
70;"Ciutat Fallera";16;162;82;0,27;0,27;0,27;0,27;0,27
71;"Benifaraig";17;171;82;0,56;0,38;0,38;0,38;0,38
72;"Poble Nou";17;172;82;1,65;1,24;1,24;1,64;1,64
73;"Carpesa";17;173;82;1,37;1,37;1,38;1,37;1,37
74;"Cases de Bàrcena";17;174;82;1,26;1,27;1,28;1,27;1,27
75;"Mauella";17;175;82;1,32;1,39;1,37;1,43;1,41
76;"Massarrojos";17;176;82;0,43;0,34;0,34;0,43;0,42
77;"Borbotó";17;177;82;0,99;0,75;0,75;0,99;0,99
78;"Benimàmet";18;181;82;5,11;5,11;5,11;5,11;5,12
79;"Beniferri";18;182;82;1,18;1,18;1,18;1,18;1,18
80;"el Forn d'Alcedo";19;191;82;1,23;1,23;1,23;1,23;1,23
81;"el Castellar-l'Oliverar";19;192;82;1,36;1,39;1,42;1,42;1,42
82;"Pinedo";19;193;82;1,7;1,77;1,77;1,92;1,92
83;"el Saler";19;194;82;1,45;1,45;1,45;1,45;1,45
84;"el Palmar";19;195;82;5,08;5,06;5,06;5,04;5,02
85;"el Perellonet";19;196;82;8,04;8,04;8,04;8;8
86;"la Torre";19;197;82;1,69;1,69;1,69;1,69;1,69
87;"Faitanar";19;198;82;2,11;2,12;2;2,07;2,07
