"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
60;"Ciutat Jardí";13;132;75;461,62;458,51;503,82;492,04;492;492,95;482,37;475,86;478,68;472,71;478,92;471,44;468,55;471,59
61;"l'Amistat";13;133;75;382,92;387,27;426,25;413,68;414,11;402,5;396,33;389,82;397,83;397,43;396,62;390,65;395,42;398,06
62;"la Bega Baixa";13;134;75;455,2;460,09;492,18;483,05;481,66;476,34;467,08;455,95;455,44;453,22;455,67;460,09;469,85;468,31
63;"la Carrasca";13;135;75;459,47;459,87;491,71;481,45;475,39;464,45;453,23;438,96;440,39;483,18;442,12;449,04;453,83;473,99
64;"Benimaclet";14;141;75;395,8;398,36;420,84;414,51;415,47;407,93;401,84;395,97;396,98;395,75;404,92;403,16;406,7;410,47
65;"Camí de Vera";14;142;75;460,89;469,26;443,05;432,92;434,42;422,41;419,68;426,85;437,21;446,48;448,26;453,82;455,97;460,36
66;"Orriols";15;151;75;344,84;351,87;375,41;370,39;368,39;367,46;355,68;355,24;365,32;349,74;355,96;348,02;351,55;360,89
67;"Torrefiel";15;152;75;407,72;404,75;420,25;409,54;404,57;400,62;392,16;387,43;390,85;386,05;393,1;395,06;399,21;404,83
68;"Sant Llorenç";15;153;75;408,5;400,74;324,87;323,01;332,87;333,95;336,06;327,44;323,53;353,54;360,42;369,61;375,83;374,53
69;"Benicalap";16;161;75;414,37;409,96;390,17;379,33;383,22;380,6;373,76;374,54;381,87;386,68;391,17;391,4;397,92;398,92
70;"Ciutat Fallera";16;162;75;408,69;403,47;426,53;420,58;423,75;411,2;411,54;405,84;409,63;413,86;423,93;425,63;425,28;431,68
71;"Benifaraig";17;171;75;515,59;526,99;507,84;510,81;508,81;525,53;517,45;536,85;537,48;538,54;555,23;578,36;577,94;575,03
72;"Poble Nou";17;172;75;471,28;480,28;501,05;530,47;527,4;529,75;539,1;503,49;509,94;493,18;496,11;486,75;493,36;506,61
73;"Carpesa";17;173;75;542,15;540,83;513,24;509,85;521,29;520,36;519,61;521,14;537,01;544,55;561,55;561,66;566,84;565,07
