;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Ind_Esp;;% Viviendas con valor catastral mayor de 48.000 euros;% Viviendas con valor catastral menor de 18.000 euros;Número de viviendas;Porcentaje de viviendas con menos de 10 años;Porcentaje de viviendas con menos de 5 años;Porcentaje de viviendas con más de 50 años;Porcentaje de viviendas de menos de 60 metros cuadrados;Porcentaje de viviendas de menos de 80 metros cuadrados;Porcentaje de viviendas de más de 120 metros cuadrados;Superficie construida media de las viviendas;Superficie de aparcamiento por turismo;Superficie de aparcamiento por vivienda;Superficie total de aparcamientos;Superficie total de solares;Valor catastral medio por metro cuadrado;Valor catastral medio por vivienda
DTBA;Year;;;;;;;;;;;;;;;;
54;2019;21,1;28,12;4133;0,27;0;46,14;4,28;30,9;11,9;93,6;13,42;11,56;47759;7844;327,75;32253,32
54;2020;23,75;26,97;4131;0,02;0;48,34;4,24;30,91;11,89;93,55;13,28;11,53;47623;8626;337,57;33199,51
54;2021;23,74;26,96;4132;0,02;0;51,38;4,24;31,22;11,88;93,5;13,08;11,53;47623;8626;337,66;33196,28
54;2022;23,72;26,96;4132;0,02;0;51,74;4,24;31,22;11,86;93,49;;11,53;47623;7906;337,65;33189,47
55;2018;29,18;5,33;4596;1,33;0;29,98;2,57;14,86;34,14;110,54;17,39;15,99;73484;6808;352,27;39909,02
55;2019;31,41;4,62;4591;0;0;31,82;2,57;14,83;34,15;110,54;17,27;16,02;73539;8896;362,62;41080,22
55;2020;33,35;3,64;4591;0;0;32,13;2,57;14,83;34,15;110,54;17,27;16,02;73539;7415;373,52;42312,62
55;2021;33,36;3,64;4592;0;0;35,82;2,57;14,83;34,17;110,54;17,1;16,01;73539;7415;373,55;42318,13
55;2022;33,8;3,6;4636;0,95;0,95;36,82;2,55;14,75;34,56;110,87;;15,92;73800;8204;374,48;42558,64
61;2018;72,48;0,33;3376;4,8;0;36,34;4,62;12,06;59,6;145,9;27,33;28,31;95576;428;645,08;99944,13
61;2019;75,41;0,18;3376;4,62;0;39,87;4,62;12,06;59,6;145,9;27,89;28,45;96035;428;664,43;102942,45
61;2020;78,34;0,15;3365;3,27;0;40,45;4,7;12,18;59,61;145,91;29,06;29,32;98659;428;685,24;106169,26
61;2021;78,72;0,15;3351;2,39;0;44,08;4,72;11,91;59,89;146,12;29,64;29,44;98659;812;687,3;106491,51
61;2022;78,72;0,15;3350;2,39;0;44,09;4,72;11,91;59,88;146,01;;29,4;98493;2601;687,31;106404,74
62;2018;65,55;0,69;7834;0,2;0,01;31,64;3,56;18,48;33,15;113,29;27,09;25,21;197460;12441;550,71;65372,24
62;2019;67,62;0,42;7839;0,2;0,01;34,48;3,56;18,47;33,13;113,27;27,49;25,23;197788;12441;567,24;67320,06
62;2020;69,21;0,36;7857;0,22;0,22;34,66;3,6;18,54;33,1;113,23;27,72;25,18;197863;12239;584,16;69298,86
62;2021;69,21;0,36;7856;0,22;0,22;36,71;3,6;18,55;33,11;113,22;27,36;25,19;197863;12239;584,29;69307,93
62;2022;69,25;0,35;7892;0,61;0,6;39,28;3,67;18,65;33;113,11;;25,12;198264;11843;584,78;69278,57
63;2018;86,01;0,3;2994;0;0;24,92;3,44;5,54;71,21;169,24;20,87;23,76;71137;259;595,39;104922,73
63;2019;86,64;0,1;2994;0;0;27,82;3,44;5,54;71,21;169,24;21,1;23,76;71137;259;613,25;108070,41
63;2020;88,51;0,07;2994;0;0;31,23;3,44;5,54;71,21;168,64;21,41;23,76;71137;259;633,58;111304,67
